"TPR","TNR","FDR","F1","MCC","alpha_bias","fp_bias","MSE_theta","exact_match","method","rep","scenario"
1,0.590909090909091,0.75,0.4,0.384353057392904,0.187293033875208,0.00827077710968241,0.00667767369708039,0,"lasso",23,"S01_base"
1,0.522727272727273,0.777777777777778,0.363636363636364,0.340824905430363,0.217406732507169,0.00865103047214127,0.00756762981047026,0,"enet",23,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.106412269245661,0.000992162128411024,0.00508843180602418,0,"scad_pool",23,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.106765619009107,0.000433986996073185,0.00507593744387742,0,"mcp_pool",23,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.123675337967479,0.00307597140801266,0.0422381641548743,0,"scad",24,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.124381818917057,0.00165430274242805,0.0382393264405452,0,"mcp",24,"S01_base"
1,0.318181818181818,0.833333333333333,0.285714285714286,0.230283093235919,0.192095092043177,0.0184747081711257,0.011557424402388,0,"lasso",24,"S01_base"
1,0.295454545454545,0.837837837837838,0.27906976744186,0.218887066569836,0.204673266140597,0.0210235923726214,0.0122303096531739,0,"enet",24,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.123988681489186,0.00257608866782645,0.00898098003377766,0,"scad_pool",24,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.123676641479722,0.00315736946998586,0.00898803866272501,0,"mcp_pool",24,"S01_base"
1,1,0,1,1,0.139644149047978,0,0.032858682308757,1,"scad",25,"S01_base"
1,1,0,1,1,0.139632044513642,0,0.0328606997964628,1,"mcp",25,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.277783999155384,0.000698057482846617,0.013239683142165,0,"lasso",25,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.276327972510312,0.00244434106657982,0.0132624001468799,0,"enet",25,"S01_base"
1,1,0,1,1,0.139644149047978,0,0.00750652546135799,1,"scad_pool",25,"S01_base"
1,1,0,1,1,0.13963262153314,0,0.00750604315727284,1,"mcp_pool",25,"S01_base"
1,0.795454545454545,0.6,0.571428571428571,0.564076074817766,0.10744889807212,0.00306915351375558,0.0419347960975499,0,"scad",26,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.131058679910059,9.27895415804872e-05,0.0357726739413526,0,"mcp",26,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.225237071578178,0.00495725357296845,0.00793566127489761,0,"lasso",26,"S01_base"
1,0.522727272727273,0.777777777777778,0.363636363636364,0.340824905430363,0.209607747003646,0.00994253099165809,0.00760145646770603,0,"enet",26,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.136676655011316,0.000765686154361484,0.00512626714855352,0,"scad_pool",26,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.118215555001064,0.000701453788675725,0.00474134223307319,0,"mcp_pool",26,"S01_base"
1,0.977272727272727,0.142857142857143,0.923076923076923,0.915238951128249,0.0496160992914802,0.000239423352042933,0.046359894596614,0,"scad",27,"S01_base"
1,1,0,1,1,0.0483538733412215,0,0.0462219149163616,1,"mcp",27,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.199225334834146,0.0025725189629915,0.0127261236597815,0,"lasso",27,"S01_base"
1,0.75,0.647058823529412,0.521739130434783,0.514495755427526,0.208372003721677,0.0041789157680695,0.0136196826298853,0,"enet",27,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.0404893081513455,0.00119816432961454,0.00538584134658956,0,"scad_pool",27,"S01_base"
1,1,0,1,1,0.0437097602664159,0,0.00542153494010529,1,"mcp_pool",27,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.159506442385988,0.00273238895670603,0.0318380302039638,0,"scad",28,"S01_base"
1,0.909090909090909,0.4,0.75,0.738548945875996,0.160167620049441,0.00207796277520871,0.0305060337845813,0,"mcp",28,"S01_base"
1,0.681818181818182,0.7,0.461538461538462,0.452267016866645,0.242694756075196,0.0088468992000526,0.0195424923781296,0,"lasso",28,"S01_base"
1,0.704545454545455,0.684210526315789,0.48,0.471686377031934,0.283012658839562,0.00727855751871752,0.0224565187298906,0,"enet",28,"S01_base"
1,0.863636363636364,0.5,0.666666666666667,0.657128740672771,0.158857928621674,0.00336306121726828,0.0148576256063536,0,"scad_pool",28,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.159404984400867,0.00271208613657625,0.0148914620175956,0,"mcp_pool",28,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.142761335400765,0.000133579880704611,0.0354621918911104,0,"scad",29,"S01_base"
1,1,0,1,1,0.140575705928762,0,0.0353131858980947,1,"mcp",29,"S01_base"
1,0.886363636363636,0.454545454545455,0.705882352941177,0.695320842762652,0.274597276635088,0.0013646309120465,0.0171727603043087,0,"lasso",29,"S01_base"
1,0.931818181818182,0.333333333333333,0.8,0.788170109311512,0.332633915553903,0.000818484359881211,0.0217546508812979,0,"enet",29,"S01_base"
1,1,0,1,1,0.147709897559446,0,0.0103342005932629,1,"scad_pool",29,"S01_base"
1,0.954545454545455,0.25,0.857142857142857,0.846114112226649,0.13005261440778,7.24258190853703e-05,0.00984310420510526,0,"mcp_pool",29,"S01_base"
